#t p q a dW
43.2 -0.400704 -0.591184 0.557344 -0.315223
43.3 -0.343397 -0.628414 0.587863 -0.216507
43.4 -0.283313 -0.65977 0.612935 -0.250893
43.5 -0.220988 -0.685002 0.632675 -1.01157
43.6 -0.156951 -0.703911 0.647204 -0.821841
43.7 -0.0917172 -0.716352 0.656638 0.445488
43.8 -0.0257908 -0.722231 0.661061 -0.909836
43.9 0.0403294 -0.721504 0.660515 0.403391
44 0.106146 -0.714176 0.654995 -0.84566
44.1 0.171161 -0.700301 0.644448 1.0988
44.2 0.234865 -0.679987 0.628783 -0.080576
44.3 0.296743 -0.653389 0.607881 0.785138
44.4 0.356263 -0.620717 0.581619 1.71469
44.5 0.412884 -0.582233 0.549891 0.756552
44.6 0.466057 -0.538255 0.512639 0.111556
44.7 0.515228 -0.489155 0.46988 1.21547
44.8 0.559853 -0.435361 0.421738 -2.06551
44.9 0.599405 -0.377354 0.368462 1.17186
45 0.633388 -0.315666 0.310449 -0.146895
45.1 0.661355 -0.250877 0.248253 0.12337
45.2 0.682922 -0.183608 0.182578 -1.61449
45.3 0.697782 -0.114516 0.114266 -0.286294
45.4 0.705719 -0.0442826 0.0442681 -0.0726515
45.5 0.706614 0.026393 -0.0263899 0.123762
45.6 0.700454 0.096805 -0.0966539 0.322806
45.7 0.687331 0.166252 -0.165487 -0.0140134
45.8 0.667437 0.234045 -0.231915 1.1196
45.9 0.641058 0.299523 -0.295064 0.583877
46 0.608558 0.362053 -0.354195 -0.051166
46.1 0.570373 0.421045 -0.408714 0.533302
46.2 0.526984 0.475954 -0.458187 -0.032917
46.3 0.478913 0.526286 -0.502325 -0.835281
46.4 0.426702 0.571599 -0.540977 0.441129
46.5 0.370902 0.611506 -0.574102 1.38985
46.6 0.312065 0.645678 -0.60174 -0.154473
46.7 0.250734 0.673836 -0.623988 -1.39386
46.8 0.187443 0.695759 -0.640968 -0.674321
46.9 0.122712 0.711277 -0.652801 -0.396167
47 0.0570505 0.720271 -0.659588 -0.083058
47.1 -0.00903989 0.722673 -0.661392 0.046618
47.2 -0.0750624 0.718465 -0.65823 -1.98696
47.3 -0.140519 0.707679 -0.650072 0.123416
47.4 -0.204908 0.690397 -0.636843 1.07382
47.5 -0.267715 0.66675 -0.618435 -0.720758
47.6 -0.328418 0.636924 -0.594725 -0.650909
47.7 -0.38648 0.601154 -0.565595 -0.0893116
47.8 -0.441353 0.559734 -0.530961 0.109105
47.9 -0.492487 0.513008 -0.490801 -1.11313
48 -0.539332 0.461379 -0.445184 0.493426
48.1 -0.581348 0.405303 -0.394297 0.999229
48.2 -0.618026 0.345288 -0.338467 -0.735086
48.3 -0.648893 0.281892 -0.278173 0.178254
48.4 -0.673533 0.215717 -0.214048 -0.797693
48.5 -0.691601 0.147404 -0.146871 1.00644
48.6 -0.702835 0.0776245 -0.0775466 -0.805476
48.7 -0.707071 0.00707045 -0.00707039 -0.985007
48.8 -0.704246 -0.0635543 0.0635115 0.321356
48.9 -0.694401 -0.133545 0.133148 1.63733
49 -0.677681 -0.202205 0.20083 -0.54036
49.1 -0.654331 -0.26886 0.265632 0.865994
49.2 -0.624678 -0.332861 0.326749 -0.782072
49.3 -0.589126 -0.393599 0.383514 -0.272213
49.4 -0.548137 -0.450505 0.43542 -0.128815
49.5 -0.502216 -0.503062 0.48211 -1.10247
49.6 -0.451896 -0.550802 0.523371 0.293684
49.7 -0.397726 -0.593313 0.559111 -1.36937
49.8 -0.340258 -0.630237 0.589336 -1.42313
49.9 -0.28004 -0.661273 0.614122 0.503652
50 -0.217611 -0.686172 0.63358 0.51635
50.1 -0.153498 -0.704739 0.647835 -0.105787
50.2 -0.0882141 -0.716832 0.657 -0.245541
50.3 -0.0222648 -0.72236 0.661157 0.0793005
50.4 0.0438517 -0.72128 0.660346 -1.19389
50.5 0.109639 -0.7136 0.65456 0.313147
50.6 0.174596 -0.699379 0.643743 0.619649
50.7 0.238216 -0.678726 0.627802 -0.884878
50.8 0.299982 -0.651798 0.606617 0.916236
50.9 0.359361 -0.618809 0.580065 -0.697781
51 0.415812 -0.580023 0.548043 0.925436
51.1 0.468785 -0.535762 0.510497 0.0698565
51.2 0.517728 -0.486401 0.467447 -0.346704
51.3 0.562095 -0.432369 0.419023 -0.0234008
51.4 0.601362 -0.374152 0.365483 0.485017
51.5 0.635035 -0.312283 0.307232 0.838986
51.6 0.66267 -0.247346 0.244832 -0.294285
51.7 0.683886 -0.179963 0.178993 0.763373
51.8 0.698382 -0.110793 0.110566 -1.33518
51.9 0.705945 -0.0405181 0.040507 -1.55085
52 0.706463 0.0301613 -0.0301567 1.3044
52.1 0.699929 0.100539 -0.10037 -2.17848
52.2 0.686439 0.169915 -0.169099 -0.20481
52.3 0.666191 0.237602 -0.235373 -0.613585
52.4 0.639475 0.302938 -0.298325 -0.49215
52.5 0.606661 0.365294 -0.357223 2.06267
52.6 0.568185 0.424081 -0.411483 0.630286
52.7 0.524534 0.478758 -0.460677 0.930166
52.8 0.476228 0.528833 -0.504526 1.56625
52.9 0.423812 0.573867 -0.542883 -0.672252
53 0.367836 0.613476 -0.575713 0.64262
53.1 0.308852 0.647334 -0.603062 1.16528
53.2 0.247403 0.675165 -0.625026 -0.385974
53.3 0.184022 0.69675 -0.641728 -1.46888
53.4 0.119229 0.711922 -0.65329 -0.581394
53.5 0.053532 0.720565 -0.65981 -0.0310256
