#t p q a dW Et
3.11 -1.18165 0.797984 -0.71595 0 1
3.12 -1.18877 0.786132 -0.707625 -0 1
3.13 -1.1958 0.774209 -0.699151 -0 1
3.14 -1.20275 0.762216 -0.690526 -0 1
3.15 -1.20961 0.750154 -0.681752 0 1
3.16 -1.21639 0.738024 -0.672828 0 1
3.17 -1.22307 0.725827 -0.663754 -0 1
3.18 -1.22966 0.713563 -0.654532 0 1
3.19 -1.23616 0.701234 -0.645161 0 1
3.2 -1.24256 0.68884 -0.635642 0 1
3.21 -1.24887 0.676383 -0.625976 0 1
3.22 -1.25508 0.663863 -0.616164 -0 1
3.23 -1.2612 0.651282 -0.606206 -0 1
3.24 -1.26721 0.638639 -0.596104 -0 1
3.25 -1.27312 0.625938 -0.585857 -0 1
3.26 -1.27892 0.613177 -0.575469 0 1
3.27 -1.28463 0.60036 -0.564939 0 1
3.28 -1.29022 0.587485 -0.55427 0 1
3.29 -1.29571 0.574555 -0.543462 0 1
3.3 -1.30109 0.561571 -0.532517 -0 1
3.31 -1.30636 0.548534 -0.521437 0 1
3.32 -1.31152 0.535445 -0.510223 0 1
3.33 -1.31657 0.522304 -0.498878 0 1
3.34 -1.3215 0.509114 -0.487403 0 1
3.35 -1.32631 0.495874 -0.475801 0 1
3.36 -1.33101 0.482588 -0.464073 -0 1
3.37 -1.33559 0.469255 -0.452222 0 1
3.38 -1.34006 0.455876 -0.440249 0 1
3.39 -1.3444 0.442454 -0.428158 -0 1
3.4 -1.34862 0.428989 -0.415951 0 1
3.41 -1.35272 0.415482 -0.403631 0 1
3.42 -1.35669 0.401935 -0.3912 -0 1
3.43 -1.36054 0.388348 -0.37866 -0 1
3.44 -1.36426 0.374724 -0.366016 -0 1
3.45 -1.36786 0.361064 -0.353269 0 1
3.46 -1.37133 0.347368 -0.340424 -0 1
3.47 -1.37467 0.333637 -0.327482 0 1
3.48 -1.37788 0.319875 -0.314447 -0 1
3.49 -1.38096 0.30608 -0.301323 0 1
3.5 -1.3839 0.292256 -0.288113 -0 1
3.51 -1.38672 0.278403 -0.27482 -0 1
3.52 -1.3894 0.264522 -0.261448 -0 1
3.53 -1.39195 0.250615 -0.248 0 1
3.54 -1.39436 0.236683 -0.23448 -0 1
3.55 -1.39664 0.222728 -0.220891 -0 1
3.56 -1.39878 0.208751 -0.207238 0 1
3.57 -1.40078 0.194753 -0.193524 -0 1
3.58 -1.40265 0.180736 -0.179754 0 1
3.59 -1.40438 0.166701 -0.16593 0 1
3.6 -1.40597 0.152649 -0.152057 -0 1
3.61 -1.40742 0.138582 -0.138139 -0 1
3.62 -1.40873 0.124501 -0.124179 0 1
3.63 -1.4099 0.110408 -0.110183 0 1
3.64 -1.41093 0.0963033 -0.0961545 -0 1
3.65 -1.41182 0.0821894 -0.0820969 -0 1
3.66 -1.41258 0.0680673 -0.0680147 0 1
3.67 -1.41318 0.0539384 -0.0539122 -0 1
3.68 -1.41365 0.039804 -0.0397935 0 1
3.69 -1.41398 0.0256658 -0.0256629 0 1
3.7 -1.41417 0.0115249 -0.0115246 0 1
3.71 -1.41421 -0.00261711 0.0026171 0 1
3.72 -1.41411 -0.0167589 0.0167581 0 1
3.73 -1.41388 -0.0308989 0.030894 0 1
3.74 -1.4135 -0.0450359 0.0450207 -0 1
3.75 -1.41298 -0.0591684 0.0591339 -0 1
