#t p q a dW
3.59 -0.707278 -2.49929 0 0.0335128
3.6 -0.702614 -2.50616 0 -0.0674037
3.61 -0.746508 -2.51382 0 -0.0581405
3.62 -0.682333 -2.52121 0 0.0177479
3.63 -0.590853 -2.52765 0 0.0141377
3.64 -0.591569 -2.53357 0 -0.0204142
3.65 -0.680409 -2.54014 0 -0.0225626
3.66 -0.717743 -2.54683 0 0.013018
3.67 -0.550131 -2.55329 0 -0.0396092
3.68 -0.708354 -2.55966 0 0.00953162
3.69 -0.716441 -2.56704 0 0.0594001
3.7 -0.737652 -2.57362 0 0.00453361
3.71 -0.833061 -2.58168 0 0.0172405
3.72 -0.784138 -2.58949 0 0.010787
3.73 -0.811089 -2.59766 0 0.0218501
3.74 -0.662612 -2.60531 0 -0.00104383
3.75 -0.630859 -2.61215 0 -0.0512041
3.76 -0.638945 -2.61852 0 0.00975095
3.77 -0.589387 -2.62459 0 -0.046407
3.78 -0.595111 -2.63126 0 -0.0146977
3.79 -0.605173 -2.63754 0 -0.00622999
3.8 -0.618933 -2.64377 0 0.0268017
3.81 -0.469795 -2.64935 0 0.0309119
3.82 -0.566007 -2.65409 0 -0.0332419
3.83 -0.499445 -2.66017 0 -0.0317072
3.84 -0.485332 -2.66526 0 0.0221136
3.85 -0.423902 -2.66954 0 -0.0131716
3.86 -0.50839 -2.67428 0 -0.0193045
3.87 -0.596889 -2.67982 0 0.0101132
3.88 -0.602753 -2.68532 0 0.010744
3.89 -0.738608 -2.69181 0 0.00170779
3.9 -0.754856 -2.69932 0 0.0225381
3.91 -0.687918 -2.70641 0 0.046832
3.92 -0.643013 -2.71284 0 -0.0404313
3.93 -0.744802 -2.72004 0 0.0179947
3.94 -0.861114 -2.72748 0 -0.000409394
3.95 -0.904609 -2.73649 0 0.00779491
3.96 -1.02395 -2.74583 0 0.0385419
3.97 -0.983423 -2.75583 0 0.00653335
3.98 -0.934951 -2.76548 0 -0.0161576
3.99 -0.833737 -2.77458 0 -0.00725589
4 -0.827258 -2.78309 0 0.0261722
4.01 -0.746934 -2.79089 0 0.048672
4.02 -0.808967 -2.79834 0 -0.010586
4.03 -0.944975 -2.80711 0 -0.00562942
4.04 -0.972853 -2.81646 0 -0.0503314
4.05 -0.989314 -2.82691 0 -0.00563518
4.06 -0.84347 -2.83629 0 -0.0383685
4.07 -0.989712 -2.84572 0 -0.0433113
4.08 -1.16314 -2.85606 0 -0.0123107
4.09 -1.20234 -2.86761 0 -0.00326966
4.1 -1.38834 -2.8803 0 -0.01366
4.11 -1.41723 -2.89428 0 -0.00796994
4.12 -1.42941 -2.90824 0 -0.00153389
4.13 -1.52772 -2.92276 0 -0.0288976
4.14 -1.55134 -2.93792 0 -0.00235596
4.15 -1.3662 -2.95295 0 0.0166295
4.16 -1.24582 -2.9663 0 0.0254252
4.17 -1.12371 -2.97809 0 0.00812978
4.18 -1.0882 -2.98907 0 -0.0217011
4.19 -0.941933 -2.99932 0 -0.0195817
4.2 -0.973137 -3.0088 0 -0.024741
4.21 -0.988439 -3.01825 0 0.0114618
4.22 -0.877591 -3.0276 0 -0.035031
4.23 -1.00217 -3.03706 0 0.0264895
4.24 -0.942225 -3.04694 0 -0.00364019
4.25 -0.776635 -3.05564 0 0.0166695
4.26 -0.732157 -3.06342 0 -0.0216166
4.27 -0.603865 -3.07023 0 -0.0266606
4.28 -0.680546 -3.07691 0 -0.00938156
4.29 -0.722008 -3.08409 0 0.00124733
4.3 -0.97753 -3.09245 0 0.0311975
4.31 -1.01191 -3.10218 0 0.00684483
4.32 -0.972741 -3.11229 0 -0.00123801
4.33 -1.04403 -3.12235 0 -0.0365586
4.34 -1.12463 -3.13346 0 -0.00181673
4.35 -1.11722 -3.14479 0 -0.0537242
4.36 -1.24727 -3.15655 0 -0.00176501
4.37 -1.23978 -3.16926 0 0.00290185
4.38 -1.15137 -3.18108 0 -0.0147976
4.39 -1.13447 -3.19296 0 0.0278141
4.4 -1.18297 -3.20458 0 -0.0109537
4.41 -1.29136 -3.21692 0 0.00270574
4.42 -1.23646 -3.22965 0 -0.0128174
4.43 -1.21744 -3.24211 0 0.024432
4.44 -1.2281 -3.25399 0 -0.00456848
4.45 -1.26657 -3.26631 0 0.032782
4.46 -1.41024 -3.27957 0 0.0013142
4.47 -1.31724 -3.29325 0 -0.00994763
4.48 -1.39288 -3.30656 0 -0.0237147
4.49 -1.46638 -3.32046 0 -0.00924727
4.5 -1.52907 -3.3354 0 0.0316273
4.51 -1.39691 -3.35029 0 0.0121957
4.52 -1.25682 -3.36379 0 0.025238
4.53 -1.20616 -3.37595 0 -0.0429553
4.54 -1.2332 -3.38842 0 -0.0546649
4.55 -1.33819 -3.40135 0 -0.00243473
4.56 -1.26844 -3.41458 0 -0.00624584
4.57 -1.23159 -3.42739 0 -0.00597211
4.58 -1.17508 -3.43957 0 0.0488425
4.59 -1.20009 -3.4514 0 -0.0202182
4.6 -1.26912 -3.46399 0 0.00119163
4.61 -1.26799 -3.47644 0 0.0334632
4.62 -1.11644 -3.4884 0 -0.013529
4.63 -1.19665 -3.50011 0 -0.00962638
4.64 -1.13513 -3.51162 0 0.0279234
4.65 -1.10308 -3.5225 0 0.00507494
4.66 -1.05224 -3.5333 0 -0.0420289
4.67 -1.10209 -3.54432 0 -0.0102276
4.68 -1.11754 -3.55534 0 0.0223453
4.69 -1.10044 -3.56659 0 -0.0147675
4.7 -1.03604 -3.57713 0 0.0014618
4.71 -0.887294 -3.58668 0 -0.0441916
4.72 -0.967505 -3.59585 0 -0.0291345
4.73 -1.12909 -3.60636 0 0.0246806
4.74 -1.1088 -3.61754 0 -0.0413505
4.75 -1.10608 -3.6289 0 0.0428276
4.76 -0.986374 -3.63911 0 0.00222176
4.77 -0.89958 -3.64866 0 0.0115297
4.78 -0.860497 -3.65756 0 -0.0413295
4.79 -0.798962 -3.66612 0 -0.00947061
4.8 -0.792543 -3.67404 0 0.00540147
4.81 -0.943525 -3.68258 0 -0.00655249
4.82 -1.00495 -3.6922 0 0.017404
4.83 -1.02698 -3.70211 0 0.0966879
4.84 -0.802037 -3.71097 0 -0.0153482
4.85 -0.724332 -3.71875 0 0.0335284
4.86 -0.61107 -3.72568 0 0.0262994
4.87 -0.551984 -3.73145 0 0.00048462
4.88 -0.491744 -3.7366 0 0.069535
4.89 -0.329774 -3.74043 0 0.00479861
4.9 -0.335657 -3.7433 0 0.0209117
4.91 -0.425044 -3.74726 0 0.0754212
4.92 -0.355624 -3.75065 0 0.0286701
4.93 -0.353733 -3.7541 0 0.0499511
4.94 -0.0729163 -3.75634 0 0.0447596
4.95 -0.0434449 -3.75662 0 0.0259866
4.96 -0.0238453 -3.75664 0 0.0399575
4.97 -0.124122 -3.75712 0 -0.00951509
4.98 -0.145515 -3.75825 0 0.0130637
4.99 -0.145832 -3.75956 0 -0.0576266
5 -0.159896 -3.76166 0 0.0377209
5.01 -0.0432854 -3.76244 0 0.0320244
5.02 -0.11462 -3.7631 0 -0.0129621
5.03 -0.186765 -3.76425 0 0.000385416
5.04 -0.0906132 -3.76577 0 0.040499
5.05 -0.0136639 -3.76616 0 -0.00177929
5.06 0.0445833 -3.76611 0 -0.00226576
5.07 -0.064701 -3.766 0 0.0144972
5.08 0.0734963 -3.76586 0 -0.0147972
5.09 0.101595 -3.7652 0 -0.0210211
5.1 0.155773 -3.7643 0 0.00652974
5.11 0.0608941 -3.76286 0 -0.0621813
5.12 0.0912969 -3.76248 0 0.00206128
5.13 0.0515398 -3.76167 0 0.0223276
5.14 0.105919 -3.76046 0 0.0338497
5.15 0.215985 -3.75908 0 0.0445455
5.16 0.320524 -3.75622 0 -0.0249905
5.17 0.408878 -3.75279 0 -0.0461251
5.18 0.333796 -3.74976 0 -0.0380984
5.19 0.39709 -3.74635 0 0.013402
5.2 0.411356 -3.7425 0 0.0202789
5.21 0.315321 -3.73893 0 -0.00922767
5.22 0.295174 -3.73573 0 0.00365795
5.23 0.252414 -3.73297 0 -0.0141597
5.24 0.376404 -3.72998 0 -0.0236593
5.25 0.429835 -3.72593 0 -0.0466887
5.26 0.222525 -3.7225 0 0.0275831
5.27 0.272013 -3.71981 0 -0.00921554
5.28 0.332025 -3.71711 0 -0.028554
5.29 0.170176 -3.71475 0 -0.0247048
5.3 0.0797714 -3.71361 0 0.00419681
5.31 0.0409625 -3.71309 0 -0.0255279
5.32 0.0306341 -3.71262 0 -0.000186098
5.33 0.0508646 -3.7123 0 -0.012914
5.34 -0.0121066 -3.71212 0 -0.0292338
5.35 0.00307064 -3.71238 0 0.00135917
5.36 -0.213965 -3.7132 0 -0.0438375
5.37 -0.222147 -3.71536 0 -0.0216821
5.38 -0.238007 -3.71771 0 -0.0131437
5.39 -0.370582 -3.72088 0 -0.012515
5.4 -0.524591 -3.72524 0 -0.0202761
5.41 -0.530217 -3.7308 0 0.0413312
5.42 -0.655458 -3.73643 0 -0.00099381
5.43 -0.479416 -3.74206 0 -0.0202643
5.44 -0.37413 -3.74682 0 0.0374174
5.45 -0.394109 -3.75038 0 -0.0227804
5.46 -0.402596 -3.75431 0 -0.00264665
5.47 -0.346082 -3.758 0 -0.0204739
5.48 -0.304024 -3.7616 0 -0.0062353
5.49 -0.450292 -3.76567 0 -0.0124337
5.5 -0.589763 -3.77112 0 -0.0412871
5.51 -0.664927 -3.77735 0 -0.0192848
5.52 -0.696831 -3.78431 0 0.00560821
5.53 -0.68253 -3.79086 0 -0.0454619
5.54 -0.872495 -3.79833 0 -0.0456901
5.55 -0.852597 -3.80721 0 0.0411403
5.56 -0.881042 -3.81575 0 0.0162365
5.57 -0.847439 -3.82436 0 -0.00681386
5.58 -0.82825 -3.83254 0 0.0300172
5.59 -0.762842 -3.84077 0 0.0452929
5.6 -0.821007 -3.84855 0 0.00876921
5.61 -0.892839 -3.85742 0 -0.00181624
5.62 -0.954077 -3.86648 0 -0.00146372
5.63 -0.804674 -3.87592 0 -0.0404841
5.64 -0.803875 -3.88408 0 -0.023828
5.65 -0.794836 -3.89269 0 0.00312308
5.66 -0.825918 -3.90079 0 0.00380789
5.67 -0.694297 -3.90838 0 0.0163268
5.68 -0.778125 -3.91574 0 0.0112525
5.69 -0.885165 -3.92435 0 0.0350308
5.7 -0.978391 -3.93286 0 -0.0265663
